name,email
Александр Смирнов,alex@example.com
Мария Кузнецова,maria@example.com
Дмитрий Новиков,dmitry@example.com
Елена Морозова,elena@example.com
Сергей Волков,sergey@example.com
Ольга Лебедева,olga@example.com
Андрей Козлов,andrey@example.com
Наталья Соколова,natalia@example.com
Игорь Попов,igor@example.com
Татьяна Васильева,tatiana@example.com
Владимир Петров,vladimir@example.com
Екатерина Семенова,ekaterina@example.com
Алексей Голубев,aleksey@example.com
Юлия Воробьева,yulia@example.com
Максим Соловьев,maxim@example.com
Анна Романова,anna2@example.com
Павел Орлов,pavel@example.com
Ирина Абрамова,irina@example.com
Николай Медведев,nikolay@example.com
Светлана Козлова,svetlana@example.com
Артем Новиков,artem@example.com
Марина Лебедева,marina@example.com
Денис Смирнов,denis@example.com
Кристина Кузнецова,kristina@example.com
Роман Морозов,roman@example.com
Алина Волкова,alina@example.com
Станислав Козлов,stanislav@example.com
Виктория Соколова,viktoria@example.com
Антон Попов,anton@example.com
Евгения Васильева,evgenia@example.com 
